node_index,class
0,0
1,1
2,2
3,1
4,1
5,1
6,1
7,3
8,1
9,2
10,2
11,1
12,2
13,2
14,1
15,1
16,1
17,2
18,1
19,2
20,1
21,1
22,1
23,2
24,1
25,2
26,0
27,1
28,1
29,2
30,4
31,1
32,1
33,1
34,1
35,1
36,1
37,5
38,2
39,2
40,2
41,2
42,2
43,1
44,1
45,1
46,1
47,2
48,1
49,1
50,0
51,1
52,6
53,0
54,2
55,1
56,2
57,2
58,1
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,2
72,2
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,7
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,8
103,1
104,9
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,1
114,2
115,1
116,1
117,1
118,2
119,1
120,1
121,2
122,1
123,1
124,1
125,1
126,2
127,2
128,1
129,0
130,1
131,1
132,1
133,2
134,2
135,1
136,1
137,2
138,1
139,1
140,1
141,1
142,2
143,2
144,1
145,1
146,1
147,2
148,2
149,10
150,2
151,2
152,1
153,1
154,1
155,1
156,2
157,1
158,1
159,1
160,11
161,2
162,1
163,2
164,2
165,12
166,12
167,1
168,1
169,1
170,1
171,2
172,1
173,11
174,1
175,7
176,12
177,1
178,1
179,1
180,1
181,1
182,2
183,0
184,13
185,12
186,13
187,1
188,14
189,15
190,16
191,1
192,1
193,12
194,1
195,17
196,17
197,10
198,1
199,1
200,13
201,1
202,12
203,14
204,17
205,17
206,17
207,17
208,17
209,18
210,19
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,0
219,2
220,1
221,1
222,19
223,1
224,14
225,1
226,1
227,0
228,4
229,14
230,1
231,1
232,1
233,0
234,6
235,1
236,14
237,6
238,14
239,14
240,15
241,1
242,14
243,12
244,11
245,14
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,20
260,1
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,21
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,22
321,14
322,0
323,20
324,1
325,20
326,1
327,14
328,14
329,17
330,14
331,14
332,14
333,14
334,14
335,23
336,24
337,24
338,17
339,14
340,14
341,14
342,14
343,17
344,14
345,14
346,14
347,17
348,14
349,14
350,25
351,2
352,25
353,25
354,25
355,25
356,25
357,1
358,1
359,8
360,1
361,25
362,8
363,1
364,26
365,25
366,25
367,25
368,25
369,25
370,25
371,10
372,25
373,25
374,27
375,1
376,25
377,25
378,1
379,2
380,25
381,1
382,10
383,25
384,28
385,1
386,1
387,17
388,28
389,17
390,17
391,17
392,1
393,1
394,17
395,17
396,17
397,17
398,1
399,17
400,29
401,17
402,30
403,17
404,16
405,17
406,3
407,3
408,3
409,3
410,17
411,17
412,17
413,17
414,17
415,17
416,17
417,17
418,17
419,17
420,17
421,17
422,17
423,17
424,1
425,1
426,17
427,17
428,1
429,17
430,17
431,1
432,1
433,17
434,1
435,1
436,17
437,1
438,17
439,17
440,17
441,17
442,17
443,17
444,17
445,17
446,1
447,1
448,1
449,17
450,1
451,1
452,26
453,24
454,17
455,21
456,17
457,17
458,17
459,17
460,31
461,31
462,17
463,17
464,17
465,17
466,17
467,17
468,1
469,17
470,1
471,17
472,17
473,2
474,25
475,17
476,1
477,17
478,17
479,17
480,32
481,25
482,1
483,25
484,25
485,1
486,25
487,0
488,17
489,25
490,25
491,19
492,19
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,25
501,1
502,1
503,33
504,1
505,25
506,25
507,25
508,25
509,1
510,1
511,1
512,19
513,1
514,25
515,1
516,25
517,25
518,25
519,25
520,25
521,1
522,1
523,1
524,1
525,1
526,1
527,17
528,17
529,17
530,25
531,1
532,17
533,17
534,1
535,17
536,17
537,17
538,17
539,17
540,1
541,17
542,17
543,17
544,17
545,1
546,31
547,16
548,1
549,1
550,27
551,1
552,1
553,1
554,32
555,32
556,32
557,32
558,32
559,34
560,32
561,1
562,1
563,32
564,27
565,1
566,2
567,1
568,1
569,16
570,1
571,1
572,1
573,17
574,1
575,1
576,1
577,16
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,17
600,1
601,1
602,1
603,16
604,1
605,8
606,1
607,1
608,1
609,1
610,35
611,17
612,1
613,1
614,2
615,1
616,1
617,1
618,1
619,17
620,1
621,17
622,17
623,1
624,1
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,13
633,17
634,17
635,36
636,1
637,37
638,37
639,37
640,1
641,16
642,37
643,37
644,36
645,1
646,1
647,21
648,37
649,1
650,37
651,16
652,1
653,1
654,1
655,1
656,1
657,37
658,37
659,37
660,1
661,37
662,30
663,37
664,37
665,37
666,1
667,19
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,38
681,38
682,1
683,1
684,4
685,1
686,1
687,38
688,38
689,39
690,17
691,1
692,1
693,18
694,1
695,38
696,1
697,39
698,17
699,17
700,1
701,1
702,37
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,7
717,7
718,1
719,1
720,1
721,1
722,1
723,18
724,1
725,39
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,37
744,1
745,37
746,35
747,1
748,37
749,37
750,1
751,1
752,1
753,1
754,1
755,1
756,37
757,37
758,1
759,1
760,1
761,1
762,36
763,1
764,1
765,9
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,15
783,1
784,1
785,40
786,19
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,36
804,1
805,1
806,1
807,1
808,1
809,36
810,1
811,37
812,1
813,1
814,1
815,1
816,36
817,36
818,1
819,1
820,24
821,24
822,24
823,21
824,23
825,20
826,41
827,1
828,21
829,21
830,21
831,21
832,2
833,1
834,21
835,21
836,21
837,1
838,13
839,21
840,21
841,1
842,1
843,21
844,42
845,1
846,21
847,21
848,21
849,13
850,1
851,21
852,21
853,21
854,21
855,1
856,3
857,21
858,21
859,21
860,21
861,21
862,21
863,2
864,21
865,23
866,6
867,1
868,1
869,1
870,1
871,21
872,21
873,21
874,21
875,1
876,21
877,21
878,13
879,1
880,1
881,21
882,21
883,21
884,21
885,21
886,21
887,21
888,1
889,21
890,1
891,21
892,21
893,1
894,21
895,1
896,21
897,21
898,21
899,21
900,21
901,21
902,21
903,21
904,21
905,21
906,21
907,21
908,1
909,21
910,1
911,21
912,21
913,21
914,1
915,21
916,1
917,43
918,37
919,1
920,43
921,43
922,1
923,26
924,1
925,1
926,43
927,43
928,43
929,21
930,1
931,1
932,1
933,1
934,19
935,7
936,36
937,36
938,36
939,1
940,36
941,36
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,36
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,36
961,1
962,36
963,1
964,1
965,1
966,1
967,1
968,19
969,1
970,36
971,36
972,1
973,1
974,1
975,36
976,36
977,36
978,19
979,36
980,1
981,10
982,10
983,1
984,10
985,10
986,10
987,1
988,1
989,1
990,1
991,1
992,10
993,11
994,1
995,1
996,1
997,1
998,1
999,2
1000,44
1001,1
1002,14
1003,1
1004,1
1005,11
1006,10
1007,10
1008,10
1009,10
1010,10
1011,1
1012,1
1013,2
1014,10
1015,10
1016,2
1017,10
1018,10
1019,10
1020,1
1021,1
1022,1
1023,10
1024,14
1025,1
1026,3
1027,1
1028,14
1029,14
1030,14
1031,14
1032,14
1033,14
1034,14
1035,14
1036,14
1037,14
1038,14
1039,14
1040,14
1041,14
1042,17
1043,17
1044,14
1045,14
1046,14
1047,35
1048,2
1049,2
1050,2
1051,2
1052,0
1053,45
1054,45
1055,1
1056,1
1057,46
1058,46
1059,1
1060,1
